Scheme1,Date,Close,Adj Close,Current value Tata,Scheme 2,Close,Adj Close,Current Value Mahindra
Tata Motors,22/07/16,507.200012,507.200012,,M&M,720.700012,695.414856,
Tata Motors,25/07/16,509,509,,M&M,730.125,704.509155,
Tata Motors,26/07/16,503.25,503.25,,M&M,725.025024,699.588013,
Tata Motors,27/07/16,510.100006,510.100006,,M&M,726.650024,701.156067,
Tata Motors,28/07/16,506.850006,506.850006,,M&M,726.150024,700.673645,
Tata Motors,29/07/16,503.200012,503.200012,,M&M,733.450012,707.717468,
Tata Motors,01/08/16,508.25,508.25,,M&M,734.775024,708.996033,
Tata Motors,02/08/16,493.299988,493.299988,,M&M,729.849976,704.243713,
Tata Motors,03/08/16,478.399994,478.399994,,M&M,723.700012,698.309509,
Tata Motors,04/08/16,500,500,,M&M,718.325012,693.123169,
Tata Motors,05/08/16,516.400024,516.400024,,M&M,741.049988,715.050903,
Tata Motors,08/08/16,514.799988,514.799988,,M&M,748.700012,722.432434,
Tata Motors,09/08/16,513.799988,513.799988,,M&M,740.275024,714.30304,
Tata Motors,10/08/16,503.450012,503.450012,,M&M,723.924988,698.526611,
Tata Motors,11/08/16,503.25,503.25,,M&M,710.349976,685.427856,
Tata Motors,12/08/16,516.799988,516.799988,,M&M,725.424988,699.973999,
Tata Motors,16/08/16,507.600006,507.600006,,M&M,722,696.669189,
Tata Motors,17/08/16,510.399994,510.399994,,M&M,724.924988,699.491577,
Tata Motors,18/08/16,512.049988,512.049988,,M&M,730.125,704.509155,
Tata Motors,19/08/16,510,510,,M&M,726.924988,701.421387,
Tata Motors,22/08/16,503.950012,503.950012,,M&M,721.700012,696.3797,
Tata Motors,23/08/16,504,504,,M&M,721.025024,695.728455,
Tata Motors,24/08/16,498.350006,498.350006,,M&M,717.674988,692.495911,
Tata Motors,25/08/16,493.850006,493.850006,,M&M,707.174988,682.364319,
Tata Motors,26/08/16,503.75,503.75,,M&M,712.025024,687.04425,
Tata Motors,29/08/16,525.299988,525.299988,,M&M,711.049988,686.103333,
Tata Motors,30/08/16,529,529,,M&M,718.275024,693.07489,
Tata Motors,31/08/16,537.700012,537.700012,,M&M,719,693.774414,
Tata Motors,01/09/16,543.650024,543.650024,,M&M,725.950012,700.480591,
Tata Motors,02/09/16,549.849976,549.849976,,M&M,734.424988,708.658264,
Tata Motors,06/09/16,588.700012,588.700012,,M&M,744.950012,718.814026,
Tata Motors,07/09/16,587.400024,587.400024,,M&M,744.349976,718.235046,
Tata Motors,08/09/16,584.200012,584.200012,,M&M,744.650024,718.524536,
Tata Motors,09/09/16,573.25,573.25,,M&M,735.450012,709.647339,
Tata Motors,12/09/16,553.450012,553.450012,,M&M,712.974976,687.960754,
Tata Motors,14/09/16,560.5,560.5,,M&M,706.474976,681.688843,
Tata Motors,15/09/16,557.549988,557.549988,,M&M,702.799988,678.142761,
Tata Motors,16/09/16,548.700012,548.700012,,M&M,704.174988,679.469482,
Tata Motors,19/09/16,554.450012,554.450012,,M&M,708.075012,683.232727,
Tata Motors,20/09/16,548.450012,548.450012,,M&M,704.875,680.144958,
Tata Motors,21/09/16,549.900024,549.900024,,M&M,703.75,679.059509,
Tata Motors,22/09/16,558.450012,558.450012,,M&M,706.799988,682.002441,
Tata Motors,23/09/16,553.049988,553.049988,,M&M,704.799988,680.072571,
Tata Motors,26/09/16,535.299988,535.299988,,M&M,689.924988,665.719543,
Tata Motors,27/09/16,531.950012,531.950012,,M&M,685.525024,661.473938,
Tata Motors,28/09/16,540,540,,M&M,689.625,665.430054,
Tata Motors,29/09/16,526.299988,526.299988,,M&M,682.125,658.193176,
Tata Motors,30/09/16,534.849976,534.849976,,M&M,702.974976,678.311646,
Tata Motors,03/10/16,540.799988,540.799988,,M&M,721.525024,696.210876,
Tata Motors,04/10/16,549.950012,549.950012,,M&M,707.674988,682.846802,
Tata Motors,05/10/16,559.650024,559.650024,,M&M,699.450012,674.910339,
Tata Motors,06/10/16,551.450012,551.450012,,M&M,686.150024,662.076904,
Tata Motors,07/10/16,565.700012,565.700012,,M&M,686.924988,662.824707,
Tata Motors,10/10/16,562.049988,562.049988,,M&M,689.049988,664.875244,
Tata Motors,13/10/16,544.849976,544.849976,,M&M,684.549988,660.53302,
Tata Motors,14/10/16,556.099976,556.099976,,M&M,678.525024,654.719543,
Tata Motors,17/10/16,547.549988,547.549988,,M&M,656.700012,633.660217,
Tata Motors,18/10/16,554.25,554.25,,M&M,665.924988,642.561462,
Tata Motors,19/10/16,550.5,550.5,,M&M,664.450012,641.138245,
Tata Motors,20/10/16,546.849976,546.849976,,M&M,663.25,639.980408,
Tata Motors,21/10/16,544.5,544.5,,M&M,663.5,640.22168,
Tata Motors,24/10/16,559.799988,559.799988,,M&M,669.724976,646.22821,
Tata Motors,25/10/16,553.799988,553.799988,,M&M,652.924988,630.017639,
Tata Motors,26/10/16,530.049988,530.049988,,M&M,654.924988,631.947449,
Tata Motors,27/10/16,522,522,,M&M,650.400024,627.581177,
Tata Motors,28/10/16,537,537,,M&M,655.375,632.381653,
Tata Motors,01/11/16,530.599976,530.599976,,M&M,661.25,638.050537,
Tata Motors,02/11/16,513.299988,513.299988,,M&M,684.674988,660.653625,
Tata Motors,03/11/16,510.200012,510.200012,,M&M,679.275024,655.443176,
Tata Motors,04/11/16,512.299988,512.299988,,M&M,686.224976,662.149353,
Tata Motors,07/11/16,506.350006,506.350006,,M&M,688.75,664.585693,
Tata Motors,08/11/16,540.200012,540.200012,,M&M,692.325012,668.035339,
Tata Motors,09/11/16,533.5,533.5,,M&M,668.575012,645.118652,
Tata Motors,10/11/16,533.700012,533.700012,,M&M,660.674988,637.495728,
Tata Motors,11/11/16,507.299988,507.299988,,M&M,620.924988,599.14032,
Tata Motors,15/11/16,457.399994,457.399994,,M&M,619.075012,597.355225,
Tata Motors,16/11/16,458.450012,458.450012,,M&M,614.799988,593.230164,
Tata Motors,17/11/16,472.850006,472.850006,,M&M,609.825012,588.429749,
Tata Motors,18/11/16,471.25,471.25,,M&M,619.525024,597.789429,
Tata Motors,21/11/16,456.950012,456.950012,,M&M,599.924988,578.877136,
Tata Motors,22/11/16,464.850006,464.850006,,M&M,608.924988,587.56134,
Tata Motors,23/11/16,471.5,471.5,,M&M,596.625,575.692932,
Tata Motors,24/11/16,452.950012,452.950012,,M&M,582.25,561.822205,
Tata Motors,25/11/16,452.350006,452.350006,,M&M,587.549988,566.936218,
Tata Motors,28/11/16,454.700012,454.700012,,M&M,581.950012,561.532776,
Tata Motors,29/11/16,459.850006,459.850006,,M&M,593.474976,572.653381,
Tata Motors,30/11/16,459.299988,459.299988,,M&M,592.974976,572.170898,
Tata Motors,01/12/16,448.200012,448.200012,,M&M,579.974976,559.627014,
Tata Motors,02/12/16,432.899994,432.899994,,M&M,571.924988,551.859436,
Tata Motors,05/12/16,439.299988,439.299988,,M&M,590.724976,569.999817,
Tata Motors,06/12/16,441.100006,441.100006,,M&M,587.599976,566.984497,
Tata Motors,07/12/16,445.350006,445.350006,,M&M,592.125,571.350769,
Tata Motors,08/12/16,461.549988,461.549988,,M&M,603.174988,582.013062,
Tata Motors,09/12/16,464.100006,464.100006,,M&M,594.549988,573.690613,
Tata Motors,12/12/16,454.399994,454.399994,,M&M,584,563.510803,
Tata Motors,13/12/16,470.649994,470.649994,,M&M,584.349976,563.84845,
Tata Motors,14/12/16,472.350006,472.350006,,M&M,587.325012,566.719177,
Tata Motors,15/12/16,463.200012,463.200012,,M&M,591.150024,570.409973,
Tata Motors,16/12/16,473.149994,473.149994,,M&M,588.775024,568.118286,
Tata Motors,19/12/16,471.799988,471.799988,,M&M,588.049988,567.418701,
Tata Motors,20/12/16,473.149994,473.149994,,M&M,589.400024,568.721436,
Tata Motors,21/12/16,468.5,468.5,,M&M,596.575012,575.644653,
Tata Motors,22/12/16,469.600006,469.600006,,M&M,591.575012,570.820007,
Tata Motors,23/12/16,465.649994,465.649994,,M&M,585.875,565.319946,
Tata Motors,26/12/16,457.850006,457.850006,,M&M,574.450012,554.295837,
Tata Motors,27/12/16,466.950012,466.950012,,M&M,583.325012,562.859497,
Tata Motors,28/12/16,463.350006,463.350006,,M&M,586.650024,566.067871,
Tata Motors,29/12/16,470.899994,470.899994,,M&M,587.275024,566.670959,
Tata Motors,30/12/16,472,472,,M&M,592.224976,571.447205,
Tata Motors,02/01/17,487.049988,487.049988,,M&M,612.450012,590.962646,
Tata Motors,03/01/17,481.100006,481.100006,,M&M,611.599976,590.142456,
Tata Motors,04/01/17,486.649994,486.649994,,M&M,610.575012,589.153442,
Tata Motors,05/01/17,502.149994,502.149994,,M&M,612.974976,591.469238,
Tata Motors,06/01/17,497.75,497.75,,M&M,610.099976,588.695068,
Tata Motors,09/01/17,500.149994,500.149994,,M&M,601.674988,580.565674,
Tata Motors,10/01/17,516.25,516.25,,M&M,606.474976,585.197205,
Tata Motors,11/01/17,519.25,519.25,,M&M,614.474976,592.916626,
Tata Motors,12/01/17,518.25,518.25,,M&M,607.599976,586.282776,
Tata Motors,13/01/17,514.849976,514.849976,,M&M,608.625,587.271912,
Tata Motors,16/01/17,526.400024,526.400024,,M&M,606.200012,584.931946,
Tata Motors,17/01/17,523.700012,523.700012,,M&M,602.825012,581.675354,
Tata Motors,18/01/17,522.450012,522.450012,,M&M,608.049988,586.717041,
Tata Motors,19/01/17,531.450012,531.450012,,M&M,605.525024,584.28064,
Tata Motors,20/01/17,523.200012,523.200012,,M&M,595.825012,574.920898,
Tata Motors,23/01/17,532.700012,532.700012,,M&M,594.049988,573.20813,
Tata Motors,24/01/17,541.549988,541.549988,,M&M,609.974976,588.574463,
Tata Motors,25/01/17,548.900024,548.900024,,M&M,621.474976,599.671021,
Tata Motors,27/01/17,541.950012,541.950012,,M&M,625.775024,603.82019,
Tata Motors,30/01/17,532.299988,532.299988,,M&M,623.125,601.263123,
Tata Motors,31/01/17,523.549988,523.549988,,M&M,619.674988,597.934204,
Tata Motors,01/02/17,542.25,542.25,,M&M,648.450012,625.699646,
Tata Motors,02/02/17,531.5,531.5,,M&M,632.275024,610.092163,
Tata Motors,03/02/17,522.599976,522.599976,,M&M,631.525024,609.368408,
Tata Motors,06/02/17,525.849976,525.849976,,M&M,633.650024,611.418884,
Tata Motors,07/02/17,506.799988,506.799988,,M&M,629.325012,607.245544,
Tata Motors,08/02/17,513.049988,513.049988,,M&M,639.224976,616.798218,
Tata Motors,09/02/17,512.849976,512.849976,,M&M,646.025024,623.35968,
Tata Motors,10/02/17,509.549988,509.549988,,M&M,639.025024,616.605286,
Tata Motors,13/02/17,505.299988,505.299988,,M&M,648.625,625.868469,
Tata Motors,14/02/17,482.049988,482.049988,,M&M,651,628.160156,
Tata Motors,15/02/17,436.450012,436.450012,,M&M,650.674988,627.846558,
Tata Motors,16/02/17,446,446,,M&M,658.174988,635.083496,
Tata Motors,17/02/17,452.950012,452.950012,,M&M,658.424988,635.324646,
Tata Motors,20/02/17,455.450012,455.450012,,M&M,657.599976,634.528625,
Tata Motors,21/02/17,458.649994,458.649994,,M&M,657.450012,634.38385,
Tata Motors,22/02/17,460.049988,460.049988,,M&M,655.650024,632.646973,
Tata Motors,23/02/17,462.350006,462.350006,,M&M,654.275024,631.320313,
Tata Motors,27/02/17,457.799988,457.799988,,M&M,648.025024,625.28949,
Tata Motors,28/02/17,456.75,456.75,,M&M,653.474976,630.548279,
Tata Motors,01/03/17,449.450012,449.450012,,M&M,673.900024,650.256775,
Tata Motors,02/03/17,461.700012,461.700012,,M&M,662.299988,639.063721,
Tata Motors,03/03/17,459.950012,459.950012,,M&M,659.75,636.603149,
Tata Motors,06/03/17,470.799988,470.799988,,M&M,663.174988,639.90802,
Tata Motors,07/03/17,467.549988,467.549988,,M&M,659.924988,636.772034,
Tata Motors,08/03/17,462.799988,462.799988,,M&M,651.349976,628.497864,
Tata Motors,09/03/17,467.600006,467.600006,,M&M,651.950012,629.076843,
Tata Motors,10/03/17,469.100006,469.100006,,M&M,651.950012,629.076843,
Tata Motors,14/03/17,469.75,469.75,,M&M,663.174988,639.90802,
Tata Motors,15/03/17,473.450012,473.450012,,M&M,661,637.809387,
Tata Motors,16/03/17,480.950012,480.950012,,M&M,660.575012,637.399231,
Tata Motors,17/03/17,476.5,476.5,,M&M,651.575012,628.715027,
Tata Motors,20/03/17,476,476,,M&M,650.275024,627.460571,
Tata Motors,21/03/17,473.75,473.75,,M&M,647.150024,624.445313,
Tata Motors,22/03/17,459.899994,459.899994,,M&M,635.450012,613.155762,
Tata Motors,23/03/17,472.899994,472.899994,,M&M,636.974976,614.627197,
Tata Motors,24/03/17,470.399994,470.399994,,M&M,637.950012,615.568054,
Tata Motors,27/03/17,464.75,464.75,,M&M,633.625,611.394714,
Tata Motors,28/03/17,472.399994,472.399994,,M&M,638.325012,615.92981,
Tata Motors,29/03/17,469.049988,469.049988,,M&M,634.099976,611.853027,
Tata Motors,30/03/17,468.399994,468.399994,,M&M,640.200012,617.739075,
Tata Motors,31/03/17,465.850006,465.850006,,M&M,642.349976,619.813599,
Tata Motors,03/04/17,470.399994,470.399994,,M&M,642.650024,620.10321,
Tata Motors,05/04/17,473.5,473.5,,M&M,645,622.370667,
Tata Motors,06/04/17,473.200012,473.200012,,M&M,644.200012,621.598755,
Tata Motors,07/04/17,468.299988,468.299988,,M&M,638.025024,615.640381,
Tata Motors,10/04/17,474.899994,474.899994,,M&M,640.299988,617.835571,
Tata Motors,11/04/17,472.25,472.25,,M&M,640.75,618.269775,
Tata Motors,12/04/17,464.549988,464.549988,,M&M,639.099976,616.677612,
Tata Motors,13/04/17,453.350006,453.350006,,M&M,640.025024,617.570251,
Tata Motors,17/04/17,449.200012,449.200012,,M&M,634.650024,612.383789,
Tata Motors,18/04/17,443.700012,443.700012,,M&M,631.375,609.223694,
Tata Motors,19/04/17,443.049988,443.049988,,M&M,629.974976,607.872803,
Tata Motors,20/04/17,443.950012,443.950012,,M&M,637.125,614.771973,
Tata Motors,21/04/17,440.600006,440.600006,,M&M,629.799988,607.703857,
Tata Motors,24/04/17,443.850006,443.850006,,M&M,632.224976,610.043823,
Tata Motors,25/04/17,445.649994,445.649994,,M&M,653.75,630.81366,
Tata Motors,26/04/17,450.799988,450.799988,,M&M,675.275024,651.583496,
Tata Motors,27/04/17,455.350006,455.350006,,M&M,669,645.528625,
Tata Motors,28/04/17,458.899994,458.899994,,M&M,669.900024,646.397095,
Tata Motors,02/05/17,451.25,451.25,,M&M,670.5,646.976074,
Tata Motors,03/05/17,446.600006,446.600006,,M&M,673.650024,650.015503,
Tata Motors,04/05/17,436.5,436.5,,M&M,667.625,644.201904,
Tata Motors,05/05/17,419.600006,419.600006,,M&M,660.375,637.206299,
Tata Motors,08/05/17,422.649994,422.649994,,M&M,666.575012,643.188721,
Tata Motors,09/05/17,426.799988,426.799988,,M&M,671,647.458435,
Tata Motors,10/05/17,432.299988,432.299988,,M&M,688.349976,664.199768,
Tata Motors,11/05/17,427.450012,427.450012,,M&M,686.575012,662.487061,
Tata Motors,12/05/17,430.850006,430.850006,,M&M,682.875,658.916809,
Tata Motors,15/05/17,431.899994,431.899994,,M&M,688.125,663.982666,
Tata Motors,16/05/17,437.25,437.25,,M&M,683.650024,659.664673,
Tata Motors,17/05/17,449.100006,449.100006,,M&M,688.875,664.706299,
Tata Motors,18/05/17,437.950012,437.950012,,M&M,675.650024,651.945374,
Tata Motors,19/05/17,443.350006,443.350006,,M&M,666.549988,643.164551,
